csv,csv_Cn,log,log_Cn,other,other_Cn,ps,ps_Cn,sql,sql_Cn,txt,txt_Cn,zip,zip_Cn,zz_level,zz_time,zz_today,path
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,14:49:05,2016-07-12,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,14:49:05,2016-07-12,C:/testdirs\subDirFoo
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,14:49:25,2016-07-12,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,14:49:25,2016-07-12,C:/testdirs\subDirFoo
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,14:51:31,2016-07-12,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,14:51:31,2016-07-12,C:/testdirs\subDirFoo
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,18:19:37,2016-07-12,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,18:19:37,2016-07-12,C:/testdirs\subDirFoo
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,19:22:11,2016-07-12,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,19:22:11,2016-07-12,C:/testdirs\subDirFoo
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,19:23:02,2016-07-12,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,19:23:02,2016-07-12,C:/testdirs\subDirFoo
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,19:36:49,2016-07-12,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,19:36:49,2016-07-12,C:/testdirs\subDirFoo
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,19:40:13,2016-07-12,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,19:40:13,2016-07-12,C:/testdirs\subDirFoo
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,20:46:21,2016-07-12,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,20:46:21,2016-07-12,C:/testdirs\subDirFoo
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,21:16:49,2016-07-12,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,21:16:49,2016-07-12,C:/testdirs\subDirFoo
50000000,1,50000000,1,0,0,0,0,0,0,0,0,0,0,1,21:17:46,2016-07-12,C:/testdirs\subDirBoo
0,0,0,0,52429824,2,0,0,0,0,0,0,0,0,1,21:17:46,2016-07-12,C:/testdirs\subDirFoo
